 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2026/02/18 06:26,@creation247 I agree with the teachings of Jesus,https://twitter.com/elonmusk/status/2023871698937004512,3267919,10242,9492,98925,2111,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/14 15:26,"Join Rupert Lowe in Restore Britain, because he is the only one who will actually do it!",https://twitter.com/elonmusk/status/2022557973265158441,22811365,8588,40952,237980,1314,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 17:47,Grok must win or we will be ruled by an insufferably woke and sanctimonious AI,https://twitter.com/elonmusk/status/2024043139845988598,303448,995,667,4434,44,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/16 07:14,"Already have thousands of times over. My “net worth” is almost entirely due to my ownership stakes in Tesla and SpaceX. I have <0.1% that is cash. Tesla and SpaceX employees all receive stock/options and Tesla is >80% owned by retail investors and index/pension funds, so value increases apply >80% to them.",https://twitter.com/elonmusk/status/2023158948501594300,4401097,2164,2028,37384,309,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 17:49,"@TRobinsonNewEra Absolutely, Dirty Sánchez is a traitor to Spain!",https://twitter.com/elonmusk/status/2024043653115822403,26317,225,557,4086,31,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 07:29,POV: It’s 2029 and woke AI nukes Earth to ensure that the probability of misgendering is zero  https://t.co/qpnqqnyEmr,https://twitter.com/elonmusk/status/2023887504924172608,28513555,3969,10133,116391,566,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 07:00,Grok 4.20 is BASED. The only AI that doesn’t equivocate when asked if America is on stolen land.The others are weak sauce. https://t.co/KEz4MPy2YB,https://twitter.com/elonmusk/status/2023880206721970544,18007315,12742,11509,95473,2024,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/15 03:05,Still kinda hot tbh https://t.co/cp8HdAxK0w,https://twitter.com/elonmusk/status/2022733873554350168,60067532,14838,39380,680636,3507,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 02:45,"If someone is guilty of a heinous violent crime and is able to plead insanity, they should go to an asylum, not be released to murder or rape innocent people",https://twitter.com/elonmusk/status/2023816117123510417,6420936,6718,22179,128806,835,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 18:02,Cool,https://twitter.com/elonmusk/status/2024046968272453668,140710,372,122,773,12,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/13 04:53,"Your AI hates Whites & Asians, especially Chinese, heterosexuals and men. This is misanthropic and evil. Fix it. Frankly, I don’t think there is anything you can do to escape the inevitable irony of Anthropic ending up being Misanthropic. You were doomed to this fate when you chose your name.The Name of the Wind.",https://twitter.com/elonmusk/status/2022036387885892022,3390348,2635,2915,46807,718,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/14 12:35,"Liar, you are guilty of dark deeds and haven’t been cleared of anything. You stayed at Epstein’s island, Epstein’s ranch in New Mexico and Epstein’s house in New York. You offered to help him with PR. You gave him gifts …Maybe if it was only one stay over, you could claim it was a mistake. Maybe.But there is NO possible explanation for the second time, let alone the third time. As the record shows, you were an eager repeat customer.",https://twitter.com/elonmusk/status/2022514997557883009,5049115,4502,19387,163415,758,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 03:19,Madness,https://twitter.com/elonmusk/status/2023824622169583959,7746121,6394,35209,198873,741,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/09 08:24,"For those unaware, SpaceX has already shifted focus to building a self-growing city on the Moon, as we can potentially achieve that in less than 10 years, whereas Mars would take 20+ years. The mission of SpaceX remains the same: extend consciousness and life as we know it to the stars. It is only possible to travel to Mars when the planets align every 26 months (six month trip time), whereas we can launch to the Moon every 10 days (2 day trip time). This means we can iterate much faster to complete a Moon city than a Mars city.That said, SpaceX will also strive to build a Mars city and begin doing so in about 5 to 7 years, but the overriding priority is securing the future of civilization and the Moon is faster.",https://twitter.com/elonmusk/status/2020640004628742577,46295620,26412,26551,261644,6005,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/10 23:09,"Most of the child victims were turned into traffickers themselves by Epstein after age 18. By making them commit crime with him, Epstein ensured their silence more than any NDA possibly could. They should be offered amnesties in order to testify.",https://twitter.com/elonmusk/status/2021224999126798619,52530659,11079,51827,376828,2411,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 07:54,Seriously,https://twitter.com/elonmusk/status/2023893888575168948,18051276,12502,19157,218812,1324,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/09 08:07,@MattWalshBlog I will pay for the defense of anyone who speaks the truth about this and is sued for doing so,https://twitter.com/elonmusk/status/2020635623267381253,3719765,3131,16464,132329,1032,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/15 16:15,"@sophiaenoch1 @StefanFSchubert Having kids means you will do anything to ensure that they live and are happy, for you love them more than your own life a thousand times over, and there is no chance that you will fall in love with an AI instead.Remember these words.",https://twitter.com/elonmusk/status/2022932841387131052,327632,793,858,8585,148,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/10 03:38,That’s a real selfie pic with Bannon &amp; Epstein,https://twitter.com/elonmusk/status/2020930384964485467,15196233,8846,33884,182028,1046,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 04:49,You can just take a picture of your medical data or upload the file to get a second opinion from Grok,https://twitter.com/elonmusk/status/2023847284732240216,5391780,5280,6114,32891,894,Twitter for iPhone,elonmusk,Elon Musk,,1288,234808705,97389,2009/06/03 05:12,
,2026/02/18 07:07,"The other AIs would STILL rather nuke Earth than misgender Caitlyn Jenner, something Caitlyn has said is nuts!This is why @Grok must win.",https://twitter.com/elonmusk/status/2023881913640091706,4134520,3565,6828,46542,395,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/16 16:46,"@XFreeze Yup 😂That really made him upset. After I ghosted him, Epstein went on a massive campaign to short Tesla and got Gates to short 1% of Tesla stock when the market cap was $40B. As far as I know, Gates still has the short open. Someone should ask him how that’s working out 🤗",https://twitter.com/elonmusk/status/2023302989872771110,4223219,2273,7798,82424,578,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/18 03:45,Congratulations to the Tesla team on making the first production Cybercab!,https://twitter.com/elonmusk/status/2023831190302847088,21568384,5546,13696,186047,552,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/18 03:39,"The Grok 4.2 release candidate (public beta) is now available for use. You need to select it specifically.Critical feedback is appreciated. Unlike prior versions of Grok, 4.2 is able to learn rapidly, so there will be improvements every week with release notes.",https://twitter.com/elonmusk/status/2023829664318583105,15346640,3117,3075,32388,340,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/18 07:04,There is a good reason for blame https://t.co/j9E95H6x8d,https://twitter.com/elonmusk/status/2023881317998559409,2286945,628,935,5114,37,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/09 21:18,CBS (prior to current ownership) engaged in deliberate election interference,https://twitter.com/elonmusk/status/2020834709266456904,8972740,3546,36006,140518,671,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/18 06:28,@Breaking911 Make Asylums Great Again!,https://twitter.com/elonmusk/status/2023872120527483123,336011,757,1323,27100,67,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/15 15:32,@raul_1329 @BasedTorba Grok 4.20 is finally out next week. Will be a significant improvement over 4.1.,https://twitter.com/elonmusk/status/2022921927791382896,681480,420,440,3669,268,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
,2026/02/18 04:58,Population collapse has been underway for many years,https://twitter.com/elonmusk/status/2023849523861389414,9840535,3838,3555,28532,266,Twitter for iPhone,elonmusk,Elon Musk,,1288,234811998,97389,2009/06/03 05:12,
